CustomerKey;Prefix;FirstName;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;AnnualIncome;TotalChildren;EducationLevel;Occupation;HomeOwner
11051;MR.;DANIEL;JOHNSON;1951-08-04;S;M;daniel18@adventure-works.com;30000;3;High School;Skilled Manual;N
11052;MRS.;HEIDI;LOPEZ;1951-08-07;S;F;heidi19@adventure-works.com;40000;2;Partial College;Clerical;N
11053;MS.;ANA;PRICE;1980-08-20;M;F;ana0@adventure-works.com;60000;0;Partial College;Skilled Manual;N
11054;MRS.;DEANNA;MUNOZ;1952-03-10;M;F;deanna33@adventure-works.com;40000;2;Partial College;Skilled Manual;Y
11055;MR.;GILBERT;RAJE;1952-03-05;M;M;gilbert35@adventure-works.com;40000;2;Partial College;Skilled Manual;Y
11056;MRS.;MICHELE;NATH;1953-04-03;M;F;michele19@adventure-works.com;40000;3;Partial College;Skilled Manual;Y
11057;MR.;CARL;ANDERSEN;1953-10-12;M;M;carl12@adventure-works.com;70000;2;Graduate Degree;Management;Y
11058;MR.;MARC;DIAZ;1954-04-27;M;M;marc6@adventure-works.com;80000;2;Partial College;Skilled Manual;Y
11059;MRS.;ASHLEE;ANDERSEN;1954-04-01;S;F;ashlee19@adventure-works.com;80000;2;Partial College;Skilled Manual;Y
11060;MR.;JON;ZHOU;1954-03-17;M;M;jon28@adventure-works.com;80000;2;Partial College;Skilled Manual;Y
11061;MR.;TODD;GAO;1954-02-27;M;M;todd14@adventure-works.com;80000;2;Partial College;Skilled Manual;Y
11062;MR.;NOAH;POWELL;1975-09-02;M;M;noah5@adventure-works.com;40000;0;High School;Skilled Manual;Y
11063;MS.;ANGELA;MURPHY;1975-04-07;S;F;angela41@adventure-works.com;40000;0;High School;Skilled Manual;Y
11064;MR.;CHASE;REED;1975-12-07;M;M;chase21@adventure-works.com;40000;0;High School;Skilled Manual;Y
11065;MS.;JESSICA;HENDERSON;1973-10-09;M;F;jessica29@adventure-works.com;60000;0;Partial College;Skilled Manual;N
11066;MS.;GRACE;BUTLER;1973-11-27;M;F;grace62@adventure-works.com;70000;0;Partial College;Professional;Y
11067;MR.;CALEB;CARTER;1976-09-25;S;M;caleb40@adventure-works.com;60000;0;Partial College;Professional;Y
11068;MRS.;TIFFANY;LIANG;1955-09-23;S;F;tiffany17@adventure-works.com;80000;2;High School;Skilled Manual;Y
11069;MRS.;CAROLYN;NAVARRO;1955-09-21;S;F;carolyn30@adventure-works.com;80000;2;High School;Skilled Manual;N
11070;MR.;WILLIE;RAJI;1955-04-05;M;M;willie40@adventure-works.com;80000;2;High School;Skilled Manual;Y
11071;MRS.;LINDA;SERRANO;1955-06-26;S;F;linda31@adventure-works.com;80000;2;High School;Skilled Manual;Y
11072;MRS.;CASEY;LUO;1955-02-06;S;F;casey6@adventure-works.com;80000;2;High School;Skilled Manual;N
11073;MRS.;AMY;YE;1956-08-14;S;F;amy16@adventure-works.com;70000;2;High School;Skilled Manual;Y
11074;MR.;LEVI;ARUN;1956-08-28;S;M;levi6@adventure-works.com;70000;2;High School;Skilled Manual;Y
11075;MRS.;FELICIA;JIMENEZ;1957-11-16;S;F;felicia4@adventure-works.com;80000;2;High School;Professional;Y
11076;MR.;BLAKE;ANDERSON;1957-07-13;S;M;blake9@adventure-works.com;80000;2;High School;Professional;Y
11077;MRS.;LEAH;YE;1957-09-19;S;F;leah7@adventure-works.com;80000;2;High School;Professional;N
11078;MS.;GINA;MARTIN;1974-01-10;S;F;gina1@adventure-works.com;40000;0;High School;Professional;N
11079;MR.;DONALD;GONZALEZ;1959-03-11;S;M;donald20@adventure-works.com;160000;0;Graduate Degree;Management;Y
11080;MR.;DAMIEN;CHANDER;1959-07-17;M;M;damien32@adventure-works.com;170000;0;Graduate Degree;Management;Y
11081;MRS.;SAVANNAH;BAKER;1966-07-24;M;F;savannah39@adventure-works.com;120000;2;Bachelors;Management;Y
11082;;ANGELA;BUTLER;1966-08-04;S;F;angela17@adventure-works.com;130000;0;Graduate Degree;Management;N
11083;MS.;ALYSSA;COX;1966-03-15;M;F;alyssa37@adventure-works.com;130000;0;Graduate Degree;Management;Y
11084;MR.;LUCAS;PHILLIPS;1957-09-12;S;M;lucas7@adventure-works.com;80000;2;Partial High School;Skilled Manual;N
11085;MRS.;EMILY;JOHNSON;1957-07-19;S;F;emily1@adventure-works.com;60000;2;High School;Professional;N
11086;MR.;RYAN;BROWN;1957-12-23;M;M;ryan43@adventure-works.com;70000;2;Partial College;Professional;Y
11087;MRS.;TAMARA;LIANG;1957-10-03;M;F;tamara6@adventure-works.com;70000;3;Partial College;Professional;N
11089;MRS.;ABIGAIL;PRICE;1957-02-05;S;F;abigail25@adventure-works.com;80000;2;Bachelors;Management;Y
11090;MR.;TREVOR;BRYANT;1957-12-17;S;M;trevor18@adventure-works.com;90000;2;Partial College;Professional;Y
11091;MR.;DALTON;PEREZ;1957-04-04;M;M;dalton37@adventure-works.com;90000;2;Partial College;Professional;Y
11092;MRS.;CHERYL;DIAZ;1967-05-06;M;F;cheryl4@adventure-works.com;90000;2;Bachelors;Professional;Y
11093;MS.;AIMEE;HE;1967-09-10;M;F;aimee13@adventure-works.com;100000;0;Graduate Degree;Management;Y
11094;MR.;CEDRIC;MA;1962-04-01;S;M;cedric15@adventure-works.com;70000;1;Partial College;Skilled Manual;N
11095;MR.;CHAD;KUMAR;1962-09-01;S;M;chad9@adventure-works.com;70000;1;Partial College;Skilled Manual;Y
11096;MR.;ANDRÉS;ANAND;1962-08-10;M;M;andres18@adventure-works.com;60000;1;Bachelors;Professional;Y
11097;MR.;EDWIN;NARA;1961-10-27;M;M;edwin39@adventure-works.com;60000;1;Partial College;Skilled Manual;Y
11098;MRS.;MALLORY;RUBIO;1961-05-01;S;F;mallory7@adventure-works.com;60000;1;Partial College;Skilled Manual;N
11099;MR.;ADAM;ROSS;1961-03-08;M;M;adam2@adventure-works.com;60000;1;Bachelors;Professional;Y
11100;MRS.;LATASHA;NAVARRO;1960-09-15;S;F;latasha10@adventure-works.com;60000;1;Partial College;Skilled Manual;Y
11101;MS.;ABBY;SAI;1965-05-08;S;F;abby4@adventure-works.com;70000;0;Bachelors;Professional;N
11102;MRS.;JULIA;NELSON;1965-04-21;S;F;julia7@adventure-works.com;80000;5;Bachelors;Professional;Y
11103;MS.;CASSIE;CHANDE;1964-10-17;S;F;cassie13@adventure-works.com;70000;0;Bachelors;Professional;Y
11104;MR.;EDGAR;SARA;1964-03-11;M;M;edgar11@adventure-works.com;70000;0;Bachelors;Professional;N
11105;MS.;CANDACE;FERNANDEZ;1964-12-28;S;F;candace15@adventure-works.com;70000;0;Bachelors;Professional;N
11106;MR.;JESSIE;LIU;1964-09-11;S;M;jessie9@adventure-works.com;70000;0;Bachelors;Professional;N
11107;MRS.;BIANCA;LIN;1959-09-09;M;F;bianca7@adventure-works.com;90000;1;Bachelors;Professional;Y
11108;MS.;KARI;ALVAREZ;1963-07-14;S;F;kari25@adventure-works.com;70000;0;Bachelors;Professional;N
11109;MR.;RUBEN;KAPOOR;1963-11-05;S;M;ruben1@adventure-works.com;70000;0;Bachelors;Professional;N
11110;MR.;CURTIS;YANG;1962-06-06;M;M;curtis5@adventure-works.com;60000;1;Partial College;Skilled Manual;Y
11111;MRS.;MEREDITH;GUTIERREZ;1962-02-23;M;F;meredith34@adventure-works.com;60000;1;Partial College;Skilled Manual;Y
11112;MRS.;CRYSTAL;WANG;1962-09-09;M;F;crystal3@adventure-works.com;60000;1;Partial College;Skilled Manual;Y
11113;MR.;MICHEAL;BLANCO;1962-02-21;M;M;micheal11@adventure-works.com;70000;5;Bachelors;Professional;Y
11114;MRS.;LESLIE;MORENO;1962-05-28;S;F;leslie7@adventure-works.com;70000;5;Partial College;Skilled Manual;Y
11115;MR.;ALVIN;CAI;1962-02-12;M;M;alvin20@adventure-works.com;70000;5;Partial College;Skilled Manual;Y
11116;MR.;CLINTON;CARLSON;1962-10-07;M;M;clinton14@adventure-works.com;70000;5;Partial College;Skilled Manual;Y
11117;MRS.;APRIL;DENG;1961-02-21;M;F;april1@adventure-works.com;70000;5;Partial College;Skilled Manual;Y
11118;MR.;ALVIN;ZENG;1957-07-03;S;M;alvin21@adventure-works.com;80000;1;Partial College;Skilled Manual;N
11119;MR.;EVAN;JAMES;1935-04-10;S;M;evan8@adventure-works.com;30000;2;Partial College;Clerical;N
11121;MR.;ORLANDO;SUAREZ;1960-11-18;M;M;orlando19@adventure-works.com;70000;5;Partial College;Skilled Manual;Y
11122;MR.;BYRON;VAZQUEZ;1960-04-02;M;M;byron9@adventure-works.com;70000;5;Partial College;Skilled Manual;Y
11123;MR.;PHILIP;ALVAREZ;1960-06-20;M;M;philip4@adventure-works.com;70000;5;Partial College;Skilled Manual;Y
11124;MR.;ROSS;JORDAN;1957-07-27;S;M;ross1@adventure-works.com;80000;1;Partial College;Skilled Manual;Y
11125;MRS.;DANA;NAVARRO;1956-04-08;S;F;dana2@adventure-works.com;70000;1;Partial College;Skilled Manual;Y
11126;MR.;SHAUN;CARSON;1949-04-07;M;M;shaun16@adventure-works.com;10000;2;High School;Skilled Manual;N
11127;MS.;JAN;EDWARDS;1975-10-21;M;F;jan11@adventure-works.com;40000;0;High School;Skilled Manual;Y
11128;MS.;SAMANTHA;LONG;1975-12-05;M;F;samantha35@adventure-works.com;40000;0;High School;Skilled Manual;Y
11129;MS.;JULIA;WRIGHT;1975-08-05;S;F;julia17@adventure-works.com;40000;0;High School;Skilled Manual;Y
11130;MS.;CAROLINE;RUSSELL;1980-01-06;M;F;caroline21@adventure-works.com;30000;0;High School;Skilled Manual;Y
11131;MS.;AMANDA;RIVERA;1980-03-12;M;F;amanda7@adventure-works.com;30000;0;High School;Skilled Manual;N
11132;MS.;MELISSA;RICHARDSON;1980-10-26;S;F;melissa31@adventure-works.com;30000;0;High School;Skilled Manual;N
11133;MS.;ANGELA;GRIFFIN;1980-09-08;S;F;angela23@adventure-works.com;30000;0;Partial High School;Clerical;N
11134;MR.;LARRY;TOWNSEND;1946-02-26;S;M;larry14@adventure-works.com;10000;5;High School;Skilled Manual;Y
11135;MR.;MARCUS;HARRIS;1979-11-03;S;M;marcus14@adventure-works.com;30000;0;Partial High School;Clerical;N
11136;MS.;BRIANNA;MORGAN;1978-10-26;S;F;brianna30@adventure-works.com;40000;0;High School;Skilled Manual;N
11137;MS.;JASMINE;TAYLOR;1978-07-20;M;F;jasmine7@adventure-works.com;40000;0;High School;Skilled Manual;Y
11138;MS.;LAUREN;DAVIS;1978-09-15;M;F;lauren23@adventure-works.com;40000;0;High School;Skilled Manual;N
11139;MRS.;TANYA;MORENO;1938-11-09;S;F;tanya2@adventure-works.com;30000;2;Partial College;Clerical;N
11140;MR.;JAVIER;ALVAREZ;1977-02-11;S;M;javier1@adventure-works.com;30000;0;Partial High School;Clerical;N
11141;MS.;NICOLE;RAMIREZ;1977-06-21;M;F;nicole42@adventure-works.com;40000;0;High School;Skilled Manual;N
11142;MR.;EDUARDO;PATTERSON;1977-08-14;S;M;eduardo55@adventure-works.com;40000;0;High School;Skilled Manual;N
11143;MR.;JONATHAN;HENDERSON;1977-02-04;M;M;jonathan4@adventure-works.com;40000;0;High School;Skilled Manual;Y
11144;MR.;EDWARD;HERNANDEZ;1979-09-09;S;M;edward48@adventure-works.com;40000;0;High School;Skilled Manual;N
11145;MS.;JASMINE;COLEMAN;1979-12-08;S;F;jasmine46@adventure-works.com;40000;0;High School;Skilled Manual;N
11146;MRS.;KARLA;GOEL;1939-08-26;S;F;karla20@adventure-works.com;40000;2;Bachelors;Management;Y
11147;MR.;ERNEST;WU;1939-02-05;M;M;ernest6@adventure-works.com;60000;2;Graduate Degree;Management;Y
11148;MR.;ROSS;VAZQUEZ;1941-08-16;M;M;ross32@adventure-works.com;40000;2;Bachelors;Management;Y
11149;MR.;THEODORE;GILL;1941-04-20;M;M;theodore14@adventure-works.com;40000;2;Bachelors;Management;Y
11150;MR.;RUSSELL;SHEN;1941-03-15;S;M;russell6@adventure-works.com;40000;2;Bachelors;Management;Y
11151;MRS.;MELINDA;GILL;1942-02-25;S;F;melinda9@adventure-works.com;60000;2;Graduate Degree;Management;N
11152;MR.;JAMES;WILLIAMS;1976-01-10;S;M;james77@adventure-works.com;40000;0;High School;Skilled Manual;Y
11153;MS.;ANGELA;JAMES;1976-06-23;M;F;angela34@adventure-works.com;40000;0;High School;Skilled Manual;Y
11154;MS.;MEGAN;WALKER;1976-08-21;S;F;megan25@adventure-works.com;40000;0;Partial College;Skilled Manual;Y
11155;MR.;HUNTER;ROBINSON;1976-01-26;S;M;hunter50@adventure-works.com;40000;0;Partial College;Skilled Manual;N
11156;MS.;MARIA;ROBERTS;1976-02-07;S;F;maria47@adventure-works.com;40000;0;Partial College;Skilled Manual;N
11157;MS.;HANNAH;LONG;1975-06-11;M;F;hannah32@adventure-works.com;40000;0;High School;Skilled Manual;Y
11158;MR.;JASON;WRIGHT;1975-10-08;S;M;jason46@adventure-works.com;40000;0;High School;Skilled Manual;Y
11159;MS.;BRIANNA;HUGHES;1975-09-17;S;F;brianna57@adventure-works.com;40000;0;High School;Skilled Manual;N
11160;MR.;MAURICE;TANG;1974-01-08;S;M;maurice4@adventure-works.com;40000;0;Partial College;Skilled Manual;N
11161;MS.;EMILY;WOOD;1974-04-22;S;F;emily27@adventure-works.com;40000;0;Partial College;Skilled Manual;N
11162;MR.;CHASE;COX;1974-03-05;S;M;chase10@adventure-works.com;40000;0;Partial College;Skilled Manual;Y
11163;MR.;GABRIEL;WANG;1974-12-20;M;M;gabriel21@adventure-works.com;40000;0;Partial College;Skilled Manual;Y
11164;MR.;DEVIN;BROOKS;1974-05-05;S;M;devin63@adventure-works.com;40000;0;Partial College;Skilled Manual;N
11165;MS.;JOCELYN;ALEXANDER;1973-07-18;M;F;jocelyn18@adventure-works.com;60000;0;Partial College;Skilled Manual;N
11166;MS.;ASHLEY;MARTINEZ;1972-04-24;S;F;ashley18@adventure-works.com;70000;0;Partial College;Skilled Manual;N
11167;MS.;JASMINE;BARNES;1972-08-01;S;F;jasmine43@adventure-works.com;80000;0;Bachelors;Management;N
11168;MR.;DAVID;RODRIGUEZ;1968-05-15;S;M;david83@adventure-works.com;80000;0;Bachelors;Management;N
11169;MR.;BRYCE;RICHARDSON;1968-06-22;M;M;bryce8@adventure-works.com;90000;4;Bachelors;Management;Y
11170;MRS.;CAROL;HOWARD;1968-02-05;M;F;carol5@adventure-works.com;90000;4;Bachelors;Management;Y
11171;MR.;JONATHAN;HILL;1967-10-09;S;M;jonathan43@adventure-works.com;100000;1;Bachelors;Management;Y
11172;MRS.;GABRIELLE;ADAMS;1967-11-21;M;F;gabrielle58@adventure-works.com;100000;1;Bachelors;Management;Y
11173;MS.;SARAH;THOMAS;1967-09-01;S;F;sarah13@adventure-works.com;110000;0;Graduate Degree;Management;N
11174;MR.;NICHOLAS;ROBINSON;1967-07-13;M;M;nicholas19@adventure-works.com;110000;0;Graduate Degree;Management;Y
11175;MR.;LUIS;WANG;1963-03-05;S;M;luis24@adventure-works.com;70000;0;Partial College;Skilled Manual;Y
11176;MR.;MASON;ROBERTS;1968-01-25;M;M;mason25@adventure-works.com;90000;4;Bachelors;Management;Y
11177;MR.;JOSE;FLORES;1942-07-04;M;M;jose6@adventure-works.com;110000;2;Graduate Degree;Management;Y
11178;MR.;NATHAN;JOHNSON;1943-08-24;M;M;nathan55@adventure-works.com;100000;2;Graduate Degree;Management;Y
11179;MRS.;MOLLY;RODRIGUEZ;1943-06-14;M;F;molly18@adventure-works.com;120000;2;Graduate Degree;Management;Y
11180;MRS.;APRIL;ANAND;1943-01-02;M;F;april18@adventure-works.com;160000;1;Bachelors;Management;Y
11181;MR.;DEVIN;MARTIN;1943-08-08;M;M;devin13@adventure-works.com;170000;2;Graduate Degree;Management;Y
11182;MRS.;STEPHANIE;TORRES;1944-08-25;S;F;stephanie19@adventure-works.com;70000;4;Bachelors;Management;Y
11183;MRS.;JASMINE;LEE;1944-07-15;S;F;jasmine19@adventure-works.com;70000;4;Bachelors;Management;Y
11184;MRS.;MEGHAN;HERNANDEZ;1944-11-16;S;F;meghan3@adventure-works.com;70000;4;Bachelors;Management;Y
11185;MRS.;ASHLEY;HENDERSON;1944-10-08;S;F;ashley31@adventure-works.com;70000;4;Bachelors;Management;Y
11186;MRS.;SARAH;PRICE;1944-05-21;S;F;sarah25@adventure-works.com;70000;4;Bachelors;Management;Y
11187;MRS.;JENNIFER;COOPER;1944-02-22;M;F;jennifer63@adventure-works.com;60000;4;Graduate Degree;Management;Y
11188;MRS.;CATHERINE;MORRIS;1944-09-06;M;F;catherine16@adventure-works.com;60000;4;Graduate Degree;Management;N
11190;MR.;CARSON;BRYANT;1944-06-22;M;M;carson17@adventure-works.com;70000;5;Bachelors;Management;Y
11191;MRS.;KRISTI;PEREZ;1945-12-18;S;F;kristi39@adventure-works.com;70000;5;Bachelors;Management;Y
11192;MR.;JAMES;BROWN;1945-09-13;M;M;james79@adventure-works.com;60000;4;Bachelors;Management;Y
11193;MR.;IAN;GRAY;1945-02-13;M;M;ian72@adventure-works.com;60000;4;Bachelors;Management;Y
11194;MRS.;JACQUELINE;PRICE;1945-06-10;M;F;jacqueline0@adventure-works.com;60000;4;Bachelors;Management;Y
11195;MRS.;MEGAN;HENDERSON;1946-02-10;M;F;megan55@adventure-works.com;60000;5;Bachelors;Management;Y
11196;MR.;ALFREDO;ROMERO;1946-06-07;M;M;alfredo10@adventure-works.com;60000;5;Bachelors;Management;Y
11197;MRS.;ANDREA;MORRIS;1946-06-18;M;F;andrea18@adventure-works.com;70000;3;Bachelors;Management;N
11198;MRS.;BROOKE;SANDERS;1946-11-26;S;F;brooke3@adventure-works.com;70000;4;Bachelors;Management;Y
11199;MRS.;JACQUELINE;BENNETT;1946-11-06;M;F;jacqueline1@adventure-works.com;70000;4;Bachelors;Management;Y
11200;MR.;JASON;GRIFFIN;1947-11-22;M;M;jason18@adventure-works.com;70000;4;Bachelors;Management;Y
11201;MRS.;AMANDA;FOSTER;1947-08-18;M;F;amanda37@adventure-works.com;70000;4;Bachelors;Management;Y
11202;MRS.;ALEXIA;PRICE;1947-08-26;M;F;alexia0@adventure-works.com;80000;5;Bachelors;Management;N
11203;MR.;LUIS;DIAZ;1948-08-21;M;M;luis21@adventure-works.com;40000;2;High School;Professional;Y
11205;MRS.;ABBY;FERNANDEZ;1948-07-24;M;F;abby13@adventure-works.com;40000;2;High School;Professional;Y
11206;MR.;BLAKE;FLORES;1948-09-24;M;M;blake60@adventure-works.com;60000;2;Partial College;Professional;Y
11207;MRS.;DANIELLE;COX;1948-07-19;S;F;danielle12@adventure-works.com;60000;2;Partial College;Professional;Y
11208;MRS.;MARIA;REED;1948-02-04;M;F;maria4@adventure-works.com;60000;2;Bachelors;Management;Y
11209;MRS.;ALLISON;EVANS;1948-01-13;M;F;allison21@adventure-works.com;60000;2;Bachelors;Management;Y
11210;MR.;EDWARD;WOOD;1948-06-08;M;M;edward50@adventure-works.com;70000;4;Partial College;Professional;Y
11211;MRS.;SAMANTHA;RUSSELL;1949-10-12;M;F;samantha42@adventure-works.com;40000;2;High School;Professional;Y
11212;MRS.;CHLOE;CAMPBELL;1949-11-05;M;F;chloe4@adventure-works.com;40000;2;High School;Professional;Y
11213;MRS.;STEPHANIE;MURPHY;1949-05-14;S;F;stephanie11@adventure-works.com;60000;2;Partial College;Professional;Y
11214;MR.;CHARLES;MILLER;1949-11-07;S;M;charles9@adventure-works.com;60000;2;Partial College;Professional;Y
11215;MRS.;ANA;PERRY;1950-06-21;M;F;ana7@adventure-works.com;40000;2;Partial High School;Skilled Manual;Y
11216;MRS.;JASMINE;TORRES;1950-05-20;S;F;jasmine32@adventure-works.com;60000;2;Partial College;Professional;Y
11217;MRS.;NATALIE;ADAMS;1950-02-11;S;F;natalie58@adventure-works.com;60000;2;Partial College;Professional;Y
11218;MRS.;OLIVIA;BROWN;1950-09-11;S;F;olivia4@adventure-works.com;60000;2;Partial College;Professional;N
11219;MR.;CHARLES;COOK;1950-12-02;M;M;charles69@adventure-works.com;60000;2;High School;Professional;Y
11220;MRS.;ERICA;HUANG;1950-02-23;M;F;erica5@adventure-works.com;60000;2;Partial College;Professional;Y
11221;MR.;NATHAN;PERRY;1950-06-10;M;M;nathan3@adventure-works.com;70000;4;Partial College;Professional;Y
11222;MRS.;ALEXANDRA;RIVERA;1950-08-17;M;F;alexandra11@adventure-works.com;80000;3;Bachelors;Management;Y
11223;MRS.;HAILEY;PATTERSON;1951-09-16;S;F;hailey30@adventure-works.com;70000;2;High School;Professional;Y
11224;MRS.;TIFFANY;LI;1951-09-06;S;F;tiffany3@adventure-works.com;70000;2;High School;Professional;Y
11226;MRS.;SYDNEY;ROSS;1951-09-27;M;F;sydney26@adventure-works.com;60000;2;Partial College;Professional;Y
11227;MR.;MARSHALL;CHAVEZ;1951-08-12;S;M;marshall35@adventure-works.com;60000;2;Partial College;Professional;Y
11228;MRS.;ASHLEY;JONES;1951-04-19;M;F;ashley3@adventure-works.com;60000;2;Partial College;Professional;Y
11229;MR.;ADRIAN;STEWART;1951-12-03;S;M;adrian21@adventure-works.com;70000;4;Partial College;Professional;Y
11230;MRS.;AMBER;TURNER;1951-04-03;M;F;amber4@adventure-works.com;70000;4;Partial College;Professional;N
11231;MR.;DENNIS;ZHANG;1952-11-14;M;M;dennis1@adventure-works.com;60000;2;High School;Professional;Y
11232;MRS.;HAILEY;BRYANT;1952-09-27;M;F;hailey38@adventure-works.com;60000;3;High School;Professional;N
